A,B,Support,Confidence,Lift,Group,supporto_test,confidenza_test,lift_test
"('qf10_2_score', 'qf10_8_score')","('qf10_6_score', 'qf12_score')",0.13915857605177995,0.8113207547169813,1.4163735209465946,No_diploma_Boomers,0.09974747474747475,0.7429467084639498,1.334271639690359
"('qf10_2_score', 'qf10_8_score')","('qf10_1_score', 'qf10_4_score', 'qf10_6_score')",0.13592233009708737,0.7924528301886793,1.391295025728988,No_diploma_Boomers,0.09638047138047139,0.7178683385579937,1.3799799129561432
"('qf10_2_score', 'qf10_8_score')","('qf10_1_score', 'qf10_6_score', 'qf12_score')",0.13915857605177995,0.8113207547169813,1.5193825042881648,No_diploma_Boomers,0.09385521885521886,0.6990595611285266,1.413587674247982
"('qf10_2_score', 'qf10_8_score')","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.13268608414239483,0.7735849056603774,1.4228436657681942,No_diploma_Boomers,0.09427609427609428,0.702194357366771,1.3915044145983722
"('qf10_2_score', 'qf10_8_score')","('qf10_1_score', 'qf10_4_score', 'qf10_6_score', 'qf12_score')",0.13268608414239483,0.7735849056603774,1.5033819864720543,No_diploma_Boomers,0.09006734006734007,0.670846394984326,1.4690608612744318
"('qf10_3_score', 'qf10_8_score')","('qf10_1_score', 'qf10_4_score', 'qf10_6_score')",0.19093851132686085,0.7866666666666667,1.3811363636363638,No_diploma_Boomers,0.11826599326599327,0.6722488038277512,1.2922841083290753
"('qf10_3_score', 'qf10_8_score')","('qf10_1_score', 'qf10_6_score', 'qf12_score')",0.1779935275080906,0.7333333333333333,1.3733333333333333,No_diploma_Boomers,0.1111111111111111,0.631578947368421,1.2771332586786113
"('qf10_3_score', 'qf10_8_score')","('qf10_1_score', 'qf10_4_score', 'qf10_6_score', 'qf12_score')",0.1715210355987055,0.7066666666666667,1.3733333333333333,No_diploma_Boomers,0.10353535353535354,0.5885167464114832,1.2887703128789718
"('qf10_2_score', 'qf10_3_score', 'qf10_8_score')","('qf10_1_score', 'qf10_6_score')",0.12297734627831715,0.8444444444444444,1.3519861830742659,No_diploma_Boomers,0.08375420875420875,0.7653846153846153,1.2952662721893489
"('qf10_2_score', 'qf10_3_score')","('qf10_1_score', 'qf10_4_score', 'qf10_6_score', 'qf12_score')",0.17938931297709923,0.6714285714285714,1.3851518560179978,Diploma_Gen_X,0.15067340067340068,0.6258741258741259,1.3705778092874867
"('qf10_2_score',)","('qf10_1_score', 'qf10_4_score', 'qf10_6_score')",0.22844827586206898,0.726027397260274,1.3694175297917364,No_diploma_Gen_X,0.2558922558922559,0.6413502109704641,1.2328868133218631
"('qf10_2_score',)","('qf10_1_score', 'qf10_4_score', 'qf12_score')",0.22844827586206898,0.726027397260274,1.4036529680365297,No_diploma_Gen_X,0.29713804713804715,0.7447257383966245,1.2408613986187798
"('qf10_2_score',)","('qf10_1_score', 'qf10_6_score', 'qf12_score')",0.20689655172413793,0.6575342465753424,1.3620352250489236,No_diploma_Gen_X,0.2474747474747475,0.620253164556962,1.2542310799892271
"('qf10_2_score',)","('qf10_4_score', 'qf10_6_score', 'qf12_score')",0.20689655172413793,0.6575342465753424,1.3743058126619772,No_diploma_Gen_X,0.257996632996633,0.6466244725738397,1.281384275926141
"('qf10_2_score',)","('qf10_1_score', 'qf10_4_score', 'qf10_6_score', 'qf12_score')",0.2025862068965517,0.6438356164383562,1.4644104217029277,No_diploma_Gen_X,0.23905723905723905,0.5991561181434599,1.3120690660911158
